date, open, high, low, close, volume

2020-04-08,63.1300,65.3400,62.5400,64.4500,3348535
2020-04-07,64.7000,65.3100,61.6063,61.7500,2623551
2020-04-06,56.9500,60.6900,55.9000,60.1500,2633570
2020-04-03,52.3500,54.1800,51.8100,53.4800,2390237
2020-04-02,53.1300,55.0601,51.7110,52.7600,3328242
2020-04-01,54.7000,56.2400,53.0200,53.9000,3620784
2020-03-31,59.7300,60.7300,56.4000,57.0000,4804176
2020-03-30,61.7800,62.2300,58.4100,59.7500,4583748
2020-03-27,60.4900,64.7800,59.6500,62.4700,2589075
2020-03-26,61.7500,64.3600,60.5100,62.8800,2567438
2020-03-25,59.7600,64.9800,56.5300,60.5600,3706308
2020-03-24,54.1600,60.8600,53.2700,59.2000,3909201
2020-03-23,50.4800,53.0000,49.0100,50.6900,4753112
2020-03-20,55.6100,58.0000,51.5900,51.6500,3850481
2020-03-19,52.5100,59.2100,48.1050,54.7500,4186687
2020-03-18,55.2000,57.9499,49.9000,54.0000,5065934
2020-03-17,58.3200,61.2300,55.3200,60.3200,7009438
2020-03-16,54.0000,57.3900,49.0100,57.3000,5345956
2020-03-13,59.0000,61.4800,54.3900,61.0600,4209505
2020-03-12,59.9900,60.2400,55.2000,55.4000,3944398
2020-03-11,67.8400,68.0400,63.8400,65.3700,3635812
2020-03-10,69.3900,70.6100,66.4200,70.1200,2767088
2020-03-09,67.7400,69.7300,66.0600,66.8700,3958851
2020-03-06,75.3500,76.6900,72.0600,73.8200,3047378
2020-03-05,77.8300,79.3700,77.0100,77.8700,2771408
2020-03-04,78.5000,80.4800,77.0900,80.4100,3110285
2020-03-03,79.2000,81.4300,75.8200,76.5500,2731425
2020-03-02,76.2500,79.6200,74.3100,79.6100,3898259
2020-02-28,76.0600,77.9800,73.3400,75.6500,4756388
2020-02-27,79.5000,82.4700,78.0000,78.3100,5767901
2020-02-26,82.8300,84.8300,82.1500,82.1800,3465874
2020-02-25,86.6500,86.7599,81.6700,81.8900,2900836
2020-02-24,86.1700,88.0000,85.0500,85.5000,2880947
2020-02-21,91.3400,91.6200,89.6200,90.2600,1877751
2020-02-20,91.0800,91.9900,90.5700,91.9300,2212193
2020-02-19,90.5300,91.2300,90.2000,90.9400,1421836
2020-02-18,89.5100,90.7600,89.2000,90.1600,1544480
2020-02-14,91.0000,91.1450,89.8600,90.2100,1220727
2020-02-13,90.4800,91.3100,90.2000,90.4000,1725449
